FDK-AAC.txt,UNKNOWN
GNU Lesser General Public License v3.0 or later.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Lesser\ General\ Public\ License\ v3.0\ or\ later.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Lesser\ General\ Public\ License\ v3.0\ or\ later.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CNRI Python License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/CNRI\ Python\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/CNRI\ Python\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OFL-1.1-RFN.txt,UNKNOWN
deprecated_GFDL-1.2.txt,UNKNOWN
EFL-2.0.txt,UNKNOWN
MIT-enna.txt,MITX11noNotice
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution-NonCommercial-ShareAlike\ 2.0\ France.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution-NonCommercial-ShareAlike\ 2.0\ France.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Creative Commons Attribution Non Commercial 2.5 Generic.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ Non\ Commercial\ 2.5\ Generic.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ Non\ Commercial\ 2.5\ Generic.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Amazon Digital Services License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Amazon\ Digital\ Services\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Amazon\ Digital\ Services\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Condor Public License v1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Condor\ Public\ License\ v1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Condor\ Public\ License\ v1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
NIST Public Domain Notice.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/NIST\ Public\ Domain\ Notice.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/NIST\ Public\ Domain\ Notice.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CeCILL Free Software License Agreement v2.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/CeCILL\ Free\ Software\ License\ Agreement\ v2.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/CeCILL\ Free\ Software\ License\ Agreement\ v2.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BitTorrent-1.1.txt,UNKNOWN
Common Documentation License 1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Common\ Documentation\ License\ 1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Common\ Documentation\ License\ 1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Non-Profit Open Software License 3.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Non-Profit\ Open\ Software\ License\ 3.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Non-Profit\ Open\ Software\ License\ 3.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
freertos-exception-2.0.txt,GPLnoVersion
Intel ACPI Software License Agreement.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Intel\ ACPI\ Software\ License\ Agreement.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Intel\ ACPI\ Software\ License\ Agreement.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
LaTeX Project Public License v1.3a.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/LaTeX\ Project\ Public\ License\ v1.3a.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/LaTeX\ Project\ Public\ License\ v1.3a.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
IBM PowerPC Initialization and Boot Software.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/IBM\ PowerPC\ Initialization\ and\ Boot\ Software.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/IBM\ PowerPC\ Initialization\ and\ Boot\ Software.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Creative Commons Attribution 2.0 Generic.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ 2.0\ Generic.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ 2.0\ Generic.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GPL-3.0-linking-source-exception.txt,UNKNOWN
Open LDAP Public License v2.6.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.6.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.6.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
iMatix Standard Function Library Agreement.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/iMatix\ Standard\ Function\ Library\ Agreement.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/iMatix\ Standard\ Function\ Library\ Agreement.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SMPPL-license.txt,UNKNOWN
HTML Tidy License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/HTML\ Tidy\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/HTML\ Tidy\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OFL-1.1-no-RFN.txt,UNKNOWN
Licence Libre du Québec – Réciprocité forte version 1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Licence\ Libre\ du\ Québec\ –\ Réciprocité\ forte\ version\ 1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Licence\ Libre\ du\ Québec\ –\ Réciprocité\ forte\ version\ 1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Unicode-DFS-2016.txt,UNKNOWN
PS-or-PDF-font-exception-20170817.txt,UNKNOWN
Latex2e License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Latex2e\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Latex2e\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Baekmuk-license.txt,UNKNOWN
Sendmail-8.23.txt,UNKNOWN
MS-PL.txt,UNKNOWN
Open Software License 3.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ Software\ License\ 3.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ Software\ License\ 3.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Sun Public License v1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Sun\ Public\ License\ v1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Sun\ Public\ License\ v1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
FSF Unlimited License (with License Retention).txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/FSF\ Unlimited\ License\ (with\ License\ Retention).txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/FSF\ Unlimited\ License\ (with\ License\ Retention).txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Qhull-license.txt,UNKNOWN
Zed License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Zed\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Zed\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GNU Free Documentation License v1.3 only.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.3\ only.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.3\ only.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
APSL-1.2.txt,UNKNOWN
XPP License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/XPP\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/XPP\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Interbase-1.0.txt,UNKNOWN
CC-BY-NC-3.0.txt,UNKNOWN
Adobe-2006.txt,UNKNOWN
Unicode-TOU.txt,UNKNOWN
LPPL-1.3a.txt,UNKNOWN
Zend License v2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Zend\ License\ v2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Zend\ License\ v2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
AGPL-3.0-only.txt,UNKNOWN
deprecated_StandardML-NJ.txt,UNKNOWN
PHP License v3.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/PHP\ License\ v3.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/PHP\ License\ v3.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
NCGL-UK-2.0.txt,UNKNOWN
Imlib2 License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Imlib2\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Imlib2\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Sun Industry Standards Source License v1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Sun\ Industry\ Standards\ Source\ License\ v1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Sun\ Industry\ Standards\ Source\ License\ v1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Japan Network Information Center License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Japan\ Network\ Information\ Center\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Japan\ Network\ Information\ Center\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-BY-ND-1.0.txt,UNKNOWN
Creative Commons Attribution No Derivatives 2.5 Generic.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ No\ Derivatives\ 2.5\ Generic.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ No\ Derivatives\ 2.5\ Generic.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
JSON-license.txt,spdxMIT
ANTLR Software Rights Notice.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/ANTLR\ Software\ Rights\ Notice.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/ANTLR\ Software\ Rights\ Notice.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GFDL-1.3-or-later.txt,UNKNOWN
Arphic-1999.txt,UNKNOWN
BSD-3-Clause-Modification.txt,UNKNOWN
Leptonica-license.txt,UNKNOWN
CC-BY-ND-3.0-DE.txt,UNKNOWN
Linux man-pages Copyleft.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Linux\ man-pages\ Copyleft.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Linux\ man-pages\ Copyleft.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CATOSL-1.1.txt,UNKNOWN
OLDAP-2.5.txt,UNKNOWN
Afmparse-license.txt,UNKNOWN
Dotseqn-license.txt,UNKNOWN
Licence Libre du Québec – Réciprocité version 1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Licence\ Libre\ du\ Québec\ –\ Réciprocité\ version\ 1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Licence\ Libre\ du\ Québec\ –\ Réciprocité\ version\ 1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
mpi-permissive.txt,UNKNOWN
NLOD-1.0.txt,UNKNOWN
gSOAP-1.3b.txt,UNKNOWN
Fawkes-Runtime-exception.txt,"GPLnoVersion,LinkException"
Elastic-2.0.txt,UNKNOWN
European Union Public License 1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/European\ Union\ Public\ License\ 1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/European\ Union\ Public\ License\ 1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GNU Free Documentation License v1.1 only - no invariants.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.1\ only\ -\ no\ invariants.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.1\ only\ -\ no\ invariants.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Spencer-99.txt,UNKNOWN
WxWindows-exception-3.1.txt,UNKNOWN
BSD-2-Clause.txt,spdxBSD2
TU-Berlin-2.0.txt,UNKNOWN
Netizen Open Source License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Netizen\ Open\ Source\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Netizen\ Open\ Source\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
ECL-1.0.txt,MITX11noNotice
CDLA-Permissive-2.0.txt,UNKNOWN
Creative Commons Attribution 2.5 Australia.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ 2.5\ Australia.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ 2.5\ Australia.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Abstyles-license.txt,UNKNOWN
LaTeX Project Public License v1.2.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/LaTeX\ Project\ Public\ License\ v1.2.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/LaTeX\ Project\ Public\ License\ v1.2.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SNIA-license.txt,UNKNOWN
Open LDAP Public License v1.4.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v1.4.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v1.4.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BSD 4-Clause Original or Old License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/BSD\ 4-Clause\ Original\ or\ Old\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/BSD\ 4-Clause\ Original\ or\ Old\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Glulxe-license.txt,UNKNOWN
ImageMagick-license.txt,UNKNOWN
Saxpath License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Saxpath\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Saxpath\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BitTorrent Open Source License v1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/BitTorrent\ Open\ Source\ License\ v1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/BitTorrent\ Open\ Source\ License\ v1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
LPPL-1.2.txt,UNKNOWN
PostgreSQL-license.txt,postgresql
Qwt-exception-1.0.txt,UNKNOWN
CECILL-1.0.txt,UNKNOWN
Open LDAP Public License v2.3.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.3.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.3.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Simple Public License 2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Simple\ Public\ License\ 2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Simple\ Public\ License\ 2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Rdisc License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Rdisc\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Rdisc\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BSD-2-Clause-Patent.txt,UNKNOWN
OCCT-PL.txt,UNKNOWN
CC-BY-1.0.txt,UNKNOWN
Apache-1.1.txt,UNKNOWN
GFDL-1.2-invariants-only.txt,UNKNOWN
Cube License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Cube\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Cube\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Spencer License 86.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Spencer\ License\ 86.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Spencer\ License\ 86.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GPL-1.0-or-later.txt,GPLv1+
MakeIndex License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/MakeIndex\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/MakeIndex\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Ruby-license.txt,UNKNOWN
Academic Free License v2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Academic\ Free\ License\ v2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Academic\ Free\ License\ v2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Newsletr License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Newsletr\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Newsletr\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SGI Free Software License B v1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/SGI\ Free\ Software\ License\ B\ v1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/SGI\ Free\ Software\ License\ B\ v1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
NIST-PD-fallback.txt,UNKNOWN
RPL-1.1.txt,UNKNOWN
MIT +no-false-attribs license.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/MIT\ +no-false-attribs\ license.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/MIT\ +no-false-attribs\ license.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
blessing-license.txt,publicDomain
i2p-gpl-java-exception.txt,UNKNOWN
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ Non\ Commercial\ Share\ Alike\ 3.0\ Germany.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ Non\ Commercial\ Share\ Alike\ 3.0\ Germany.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
bzip2-1.0.6.txt,ZLIB
GNU Free Documentation License v1.2 only.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.2\ only.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.2\ only.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GNU Free Documentation License v1.3 or later - invariants.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.3\ or\ later\ -\ invariants.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.3\ or\ later\ -\ invariants.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Open LDAP Public License v2.7.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.7.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.7.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Community Data License Agreement Permissive 2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Community\ Data\ License\ Agreement\ Permissive\ 2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Community\ Data\ License\ Agreement\ Permissive\ 2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
LGPL-3.0-linking-exception.txt,UNKNOWN
CC-BY-ND-2.5.txt,UNKNOWN
The Parity Public License 7.0.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/The\ Parity\ Public\ License\ 7.0.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/The\ Parity\ Public\ License\ 7.0.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-BY-ND-2.0.txt,UNKNOWN
MIT-advertising.txt,MITX11noNotice
GCC-exception-3.1.txt,UNKNOWN
psfrag-license.txt,UNKNOWN
OpenSSL-license.txt,"openSSLvar1,Apache-1.0"
BSD-3-Clause-No-Nuclear-Warranty.txt,UNKNOWN
MIT License Modern Variant.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/MIT\ License\ Modern\ Variant.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/MIT\ License\ Modern\ Variant.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BSD Zero Clause License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/BSD\ Zero\ Clause\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/BSD\ Zero\ Clause\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Q Public License 1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Q\ Public\ License\ 1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Q\ Public\ License\ 1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
AGPL-1.0-only.txt,UNKNOWN
AGPL-1.0-or-later.txt,UNKNOWN
Artistic License 1.0 clause 8.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Artistic\ License\ 1.0\ clause\ 8.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Artistic\ License\ 1.0\ clause\ 8.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
PSF-2.0.txt,UNKNOWN
copyleft-next 0.3.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/copyleft-next\ 0.3.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/copyleft-next\ 0.3.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-BY-NC-ND-1.0.txt,UNKNOWN
